policy,workload,queue_depth,bank_count,refresh_interval,thread_count,completed_requests,dropped_requests,avg_latency_cycles,p95_latency_cycles,avg_wait_cycles,throughput_req_per_cycle,throughput_req_per_kcycle,row_buffer_hit_rate,jains_fairness,bank_utilization
fcfs,workload2_sequential.txt,4,8,1.0,1,12065,87924,85.9723,109.0,32.1275,0.12065,120.65,0.0,1.0,"{'bank_0': 0.95994, 'bank_1': 0.9243, 'bank_2': 0.92592, 'bank_3': 0.53982, 'bank_4': 0.73692, 'bank_5': 0.73584, 'bank_6': 0.94266, 'bank_7': 0.73476}"
fcfs,workload2_sequential.txt,8,8,1.0,1,14288,85696,108.8147,113.0,54.9457,0.14288,142.88,0.0,1.0,"{'bank_0': 0.96264, 'bank_1': 0.96264, 'bank_2': 0.96264, 'bank_3': 0.96264, 'bank_4': 0.96264, 'bank_5': 0.96264, 'bank_6': 0.96264, 'bank_7': 0.96264}"
fcfs,workload2_sequential.txt,16,8,1.0,1,14288,85688,164.7251,167.0,110.8561,0.14288,142.88,0.0,1.0,"{'bank_0': 0.96264, 'bank_1': 0.96264, 'bank_2': 0.96264, 'bank_3': 0.96264, 'bank_4': 0.96264, 'bank_5': 0.96264, 'bank_6': 0.96264, 'bank_7': 0.96264}"
fcfs,workload2_sequential.txt,32,8,1.0,1,14288,85672,276.4401,275.0,222.5711,0.14288,142.88,0.0,1.0,"{'bank_0': 0.96264, 'bank_1': 0.96264, 'bank_2': 0.96264, 'bank_3': 0.96264, 'bank_4': 0.96264, 'bank_5': 0.96264, 'bank_6': 0.96264, 'bank_7': 0.96264}"
fcfs,workload2_sequential.txt,64,8,1.0,1,14288,85640,499.439,775.0,445.57,0.14288,142.88,0.0,1.0,"{'bank_0': 0.96264, 'bank_1': 0.96264, 'bank_2': 0.96264, 'bank_3': 0.96264, 'bank_4': 0.96264, 'bank_5': 0.96264, 'bank_6': 0.96264, 'bank_7': 0.96264}"
fcfs,workload2_sequential.txt,32,2,1.0,1,3572,96394,944.2828,1211.0,890.4138,0.03572,35.72,0.0,1.0,"{'bank_0': 0.96264, 'bank_1': 0.96264}"
fcfs,workload2_sequential.txt,32,4,1.0,1,7144,92820,499.5392,777.0,445.6702,0.07144,71.44,0.0,1.0,"{'bank_0': 0.96264, 'bank_1': 0.96264, 'bank_2': 0.96264, 'bank_3': 0.96264}"
fcfs,workload2_sequential.txt,32,8,1.0,1,14288,85672,276.4401,275.0,222.5711,0.14288,142.88,0.0,1.0,"{'bank_0': 0.96264, 'bank_1': 0.96264, 'bank_2': 0.96264, 'bank_3': 0.96264, 'bank_4': 0.96264, 'bank_5': 0.96264, 'bank_6': 0.96264, 'bank_7': 0.96264}"
fcfs,workload2_sequential.txt,32,16,1.0,1,28576,71376,164.7055,173.0,110.8365,0.28576,285.76,0.0,1.0,"{'bank_0': 0.96264, 'bank_1': 0.96264, 'bank_2': 0.96264, 'bank_3': 0.96264, 'bank_4': 0.96264, 'bank_5': 0.96264, 'bank_6': 0.96264, 'bank_7': 0.96264, 'bank_8': 0.96264, 'bank_9': 0.96264, 'bank_10': 0.96264, 'bank_11': 0.96264, 'bank_12': 0.96264, 'bank_13': 0.96264, 'bank_14': 0.96264, 'bank_15': 0.96264}"
fcfs,workload2_sequential.txt,32,8,0.5,1,13672,86288,286.3985,551.0,232.6723,0.13672,136.72,0.0,1.0,"{'bank_0': 0.91872, 'bank_1': 0.91872, 'bank_2': 0.91872, 'bank_3': 0.91872, 'bank_4': 0.91872, 'bank_5': 0.91872, 'bank_6': 0.91872, 'bank_7': 0.91872}"
fcfs,workload2_sequential.txt,32,8,0.75,1,14083,85878,279.513,275.0,225.697,0.14083,140.83,0.0,1.0,"{'bank_0': 0.94824, 'bank_1': 0.9477, 'bank_2': 0.9477, 'bank_3': 0.9477, 'bank_4': 0.9477, 'bank_5': 0.9477, 'bank_6': 0.94824, 'bank_7': 0.94824}"
fcfs,workload2_sequential.txt,32,8,1.0,1,14288,85672,276.4401,275.0,222.5711,0.14288,142.88,0.0,1.0,"{'bank_0': 0.96264, 'bank_1': 0.96264, 'bank_2': 0.96264, 'bank_3': 0.96264, 'bank_4': 0.96264, 'bank_5': 0.96264, 'bank_6': 0.96264, 'bank_7': 0.96264}"
fcfs,workload2_sequential.txt,32,8,1.25,1,14368,85592,275.2428,275.0,221.353,0.14368,143.68,0.0,1.0,"{'bank_0': 0.9684, 'bank_1': 0.9684, 'bank_2': 0.9684, 'bank_3': 0.9684, 'bank_4': 0.9684, 'bank_5': 0.9684, 'bank_6': 0.9684, 'bank_7': 0.9684}"
fcfs,workload2_sequential.txt,32,8,1.5,1,14448,85512,274.0055,275.0,220.0952,0.14448,144.48,0.0,1.0,"{'bank_0': 0.97416, 'bank_1': 0.97416, 'bank_2': 0.97416, 'bank_3': 0.97416, 'bank_4': 0.97416, 'bank_5': 0.97416, 'bank_6': 0.97416, 'bank_7': 0.97416}"
fcfs,workload2_sequential.txt,32,8,1.0,1,14288,85672,276.4401,275.0,222.5711,0.14288,142.88,0.0,1.0,"{'bank_0': 0.96264, 'bank_1': 0.96264, 'bank_2': 0.96264, 'bank_3': 0.96264, 'bank_4': 0.96264, 'bank_5': 0.96264, 'bank_6': 0.96264, 'bank_7': 0.96264}"
fcfs,workload2_sequential.txt,32,8,1.0,2,14288,85672,276.4401,275.0,222.5711,0.14288,142.88,0.0,1.0,"{'bank_0': 0.96264, 'bank_1': 0.96264, 'bank_2': 0.96264, 'bank_3': 0.96264, 'bank_4': 0.96264, 'bank_5': 0.96264, 'bank_6': 0.96264, 'bank_7': 0.96264}"
fcfs,workload2_sequential.txt,32,8,1.0,4,14288,85672,276.4401,275.0,222.5711,0.14288,142.88,0.0,1.0,"{'bank_0': 0.96264, 'bank_1': 0.96264, 'bank_2': 0.96264, 'bank_3': 0.96264, 'bank_4': 0.96264, 'bank_5': 0.96264, 'bank_6': 0.96264, 'bank_7': 0.96264}"
